Material Exchange Platform (MEP),Host,Logo,Website,Platform type,Exchange type,Audience,Material exchanged,,Need to create an account?,Cost to use the platform,Exchange logistics,Can waiting requests be made for specific materials?,Continued availability of material known?,Cost of materials known?,Provenance known?,Quantity  known?,Quality known?,Colour known?,Location,Address Line 1,Address Line 2,Address Line 3,Town,Postcode,County,Country,Colour,,,,,,,,,,,,,,,,,,,,,,,,
Leeds Wood Recycling,National Community Wood Recycling Project,,https://www.leedswoodrecycling.co.uk/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy online or in store,Don't know,Don't know,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,Leeds,Unit 6 ,Croydon Street,,Leeds,LS11 9RT,Leeds,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
The Woodhouse,National Community Wood Recycling Project,,https://integratepreston.org.uk/social-enterprises/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy in store,Don't know,Don't know,Don't know,Don't know,See in store,See in store,See in store,Preston,110 Stocks Road,Ashton,,Preston,PR2 2TB,Preston,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle Wood Recycling,National Community Wood Recycling Project,,https://www.welovewood.org/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy online or in store,Don't know,See in store,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,Newcastle-Upon-Tyne,Corporation Yard,Welbeck Road,,Newcastle-Upon-Tyne,NE6 2PA,Newcastle-Upon-Tyne,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
Move On Wood Recycling,National Community Wood Recycling Project,,https://moveon.org.uk/what-we-do/move-on-wood-recycling,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy online or in store,Don't know,See in store,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,See in store,Edinburgh,New Broompark,Granton,,Edinburgh,EH6 1RS,Edinburgh,Scotland,Green,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow Wood Recycling,National Community Wood Recycling Project,,https://glasgowwoodrecycling.org.uk/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy online or in store,Don't know,See in store,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,See in store,Glasgow,Unit 6,The Barclay Curle Complex,,Glasgow,G14 0BX,Glasgow,Scotland,Green,,,,,,,,,,,,,,,,,,,,,,,,
Preloved,Preloved,,https://www.preloved.co.uk/classifieds/home-improvement/diy-building-materials,Online listings,Buy and sell,Any,Construction materials,,Yes,Free to buy and sell. Pay to gain early access to latest listings,Don't know - detail could be given in the listing,Yes,One off listing so low continued availability,Items are either free or cost to exchange,Don't know - detail could be given in the listing,Don't know - detail could be given in the listing,Don't know- detail could be given in the listing,Don't know - detail could be given in the listing or photo,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Recipro,Recipro,,https://www.recipro-uk.com,Online listings,Buy and sell,Construction,Construction materials,,Yes,Free ,Private arrangement to pick up or deliver once the material exchange is confirmed,Don't know,One off and continued  listings available,Items are either free or cost to exchange,Yes -required in the listing,Yes - required in the listing,"Yes - only items that are clean, uncontaminated, not damaged or hazardous can be exchanged",Don't know - detail could be given in the listing or photo,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Growing Space Blaenau Gwent,Growing Space,,https://www.growingspace.org.uk/blaenau-gwent,Social Enterprise,Donate,Construction,Furniture and paint,,No,Free ,Donate by arrangement with organisation. Buy in store,Don't know,See in store,Don't know,Local,See in store,See in store,See in store,Blaneau Gwent,143 Bryn-Ithel Terrace,Brynithel,Abertillery,,NP13 2HF,,Wales,Green,,,,,,,,,,,,,,,,,,,,,,,,
Reciprocity Wirral,Recipro,,https://www.recipro-uk.com,Enterprise and shop,Buy and sell,Construction,Construction materials,,No,Free ,Donate by arrangement with store. Buy online or in store,Don't know,NA,Items cost to purchase   ,NA,Yes,Yes,Yes,Wirral,Reciprocity Wallasey,Unit 2 Britannia House,Dock Road,Wallasey,CH41 1DF,Wallasey,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
RecycleBlu,RecycleBlu,,https://www.recycleblu.com,Online listings,Buy and sell,Construction,Construction materials,,Yes,Free to buy and sell but a commission is paid if an exchange occurs (3% of total sale price),"Delivered to you, shipping price is incorporated within cost",Yes,One off listing so low availability. Option to ask for continued purchases within listing,Items cost to purchase and are won via a bid,Yes - required in the listing,Yes - required in the listing (in units),Yes - required in the listing,Yes - A photo is required,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Biotrading,Biotrading,,https://www.biotrading.co.uk,Online listings,Buy and sell,Any,"Organic resources such as compost, topsoil, food waste, waste wood etc.",,Yes,Free,Private arrangement to pick up or deliver once the material exchange is confirmed. Can pay for delivery using Biotrading haulage,Don't know,One off and continued  listings available,Items are purchased either by sale or by bid,Don't know,Yes - required in the listing,Yes - required in the listing,Don't know - detail could be given in the listing or photo,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Resource Efficient Scotland Construction Material Exchange,Zero Waste Scotland,,https://cme.resourceefficientscotland.com,Online listings,Buy and sell,Construction,Construction materials,,Yes,Free,Private arrangement to pick up or deliver once the material exchange is confirmed,Yes,One off listing so low continued availability,Exchange is free,Yes - required in the listing,Yes - required in the listing (in units),Yes - Condition and Quality are required in the listing,Yes - required in the listing,Scotland,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Volunteer it Yourself (VIY),Volunteer it Yourself (VIY),,https://volunteerityourself.org/,Social Enterprise,Donate,Construction,All construction,,NA,Free,,NA,NA,Donation is free,NA,NA,NA,NA,Leeds,Bennett Road,,,Leeds,LS6 3HN,,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
